,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,beGLUbmL35UJDqWGfsS9JA,popino-hameenlinna,Popino,https://s3-media2.fl.yelpcdn.com/bphoto/69ILMzKqdMyXwYO6-wGbTw/o.jpg,False,https://www.yelp.com/biz/popino-hameenlinna?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,4,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",4.5,[],€€,35836532555.0,+358 3 6532555,37454.61332441819,60.9963493,24.4670296,Raatihuoneenkatu 11,,,Hameenlinna,13100.0,FI,6.0,"['Raatihuoneenkatu 11', '13100 Hameenlinna', 'Finland']"
1,C2tL1QG2GE3LymV2L_y4zQ,vaihmalan-hovi-lempäälä,Vaihmalan Hovi,https://s3-media2.fl.yelpcdn.com/bphoto/13cgVD_Jj-LMXa2n7F2HQQ/o.jpg,False,https://www.yelp.com/biz/vaihmalan-hovi-lemp%C3%A4%C3%A4l%C3%A4?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,1,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",4.0,[],€€€,358207661810.0,+358 20 7661810,15118.429192409942,61.297451,23.7774391,Vaihmalantie 144,,,Lempäälä,37500.0,FI,11.0,"['Vaihmalantie 144', '37500 Lempäälä', 'Finland']"
2,Ub6jAwhYnGRR5ET-llUFeQ,iittalan-lasikeskus-hämeenlinna,Iittalan Lasikeskus,,False,https://www.yelp.com/biz/iittalan-lasikeskus-h%C3%A4meenlinna?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,1,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",4.0,[],,,,16368.838825316172,61.0867042541504,24.121902465820302,Kyyhkysentie 7,,,Hämeenlinna,14500.0,FI,6.0,"['Kyyhkysentie 7', '14500 Hämeenlinna', 'Finland']"
3,ar8dwagEYyS7zTyqaIbrEg,sawaddee-hämeenlinna,Sawaddee,https://s3-media1.fl.yelpcdn.com/bphoto/Nc8jdezdPKLw-bwLiCOUnA/o.jpg,False,https://www.yelp.com/biz/sawaddee-h%C3%A4meenlinna?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,3,"[{'alias': 'thai', 'title': 'Thai'}]",4.0,[],€€,358440737007.0,+358 44 0737007,37198.07541684065,60.99737170000001,24.4627609,Sibeliuksenkatu 13,,,Hämeenlinna,13100.0,FI,6.0,"['Sibeliuksenkatu 13', '13100 Hämeenlinna', 'Finland']"
4,EyVADV5l8DyWv5JNo_9cuA,fresno-hämeenlinna,Fresno,https://s3-media1.fl.yelpcdn.com/bphoto/g68yp-UfP_8N_-_ezv74iQ/o.jpg,False,https://www.yelp.com/biz/fresno-h%C3%A4meenlinna?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,3,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,[],€€,358452351012.0,+358 45 2351012,37256.58236629079,60.9968395,24.4633744,Hallituskatu 20,,,Hämeenlinna,13100.0,FI,6.0,"['Hallituskatu 20', '13100 Hämeenlinna', 'Finland']"
5,T73OT_6QkIK9e85-kbdmWQ,tuulensuu-tampere-2,Tuulensuu,https://s3-media2.fl.yelpcdn.com/bphoto/fNIAoIa6u49r8MLJBbRRIA/o.jpg,False,https://www.yelp.com/biz/tuulensuu-tampere-2?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,8,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,[],€€,35832141553.0,+358 3 2141553,37347.57373310437,61.4986,23.7536602,Hämeenpuisto 23,,,Tampere,33210.0,FI,11.0,"['Hämeenpuisto 23', '33210 Tampere', 'Finland']"
6,ChwFCP8J24zTggOVgtK-hQ,zeytuun-tampere,Zeytuun,https://s3-media3.fl.yelpcdn.com/bphoto/Av9tSftdeesXZAjeOtU9KA/o.jpg,False,https://www.yelp.com/biz/zeytuun-tampere?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,6,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.5,[],€,358417022300.0,+358 41 7022300,36949.90040896694,61.49669,23.77102,Tuomiokirkonkatu 21,,,Tampere,33100.0,FI,11.0,"['Tuomiokirkonkatu 21', '33100 Tampere', 'Finland']"
7,RTT2SvplbDfJYxSROULd-A,lounais-hämeen-pirtti-tammela-2,Lounais-Hämeen Pirtti,,False,https://www.yelp.com/biz/lounais-h%C3%A4meen-pirtti-tammela-2?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,1,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}, {'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",5.0,[],€,35834341833.0,+358 3 4341833,43551.13947472819,60.7761267884023,23.846594298512898,Portaantie 480,,,Tammela,31300.0,FI,6.0,"['Portaantie 480', '31300 Tammela', 'Finland']"
8,ZuR_cGKGUEQFVAfhaNyFwQ,ravintola-telakka-tampere,Ravintola Telakka,https://s3-media3.fl.yelpcdn.com/bphoto/2R9iespQlI9nGwhxyyAbzg/o.jpg,False,https://www.yelp.com/biz/ravintola-telakka-tampere?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,5,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'burgers', 'title': 'Burgers'}]",5.0,[],€€,35832250700.0,+358 3 2250700,37042.207424569046,61.4980244049666,23.777950150938803,Tullikamarinaukio 3,,,Tampere,33100.0,FI,11.0,"['Tullikamarinaukio 3', '33100 Tampere', 'Finland']"
9,oyH87Bjs_zA2MEoPCU2KYg,coyote-bar-ja-grill-ideapark-lempäälä,Coyote Bar & Grill Ideapark,https://s3-media4.fl.yelpcdn.com/bphoto/6SwlBw5LGn6umk6A-Mqs8Q/o.jpg,False,https://www.yelp.com/biz/coyote-bar-ja-grill-ideapark-lemp%C3%A4%C3%A4l%C3%A4?adjust_creative=2FzIZS-WZ5o1pc6DlxqwVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2FzIZS-WZ5o1pc6DlxqwVw,2,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",2.5,[],,358104233211.0,+358 10 4233211,21992.684205005797,61.361541700000004,23.7951794,Ideaparkinkatu 4,,,Lempäälä,37570.0,FI,11.0,"['Ideaparkinkatu 4', '37570 Lempäälä', 'Finland']"
